Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 0's token_index 346
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 1's token_index 279
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 2's token_index 513
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 3's token_index 89
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 4's token_index 146
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 5's token_index 485
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 6's token_index 263
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 7's token_index 411
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 8's token_index 449
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 9's token_index 95
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 10's token_index 91
Sat 27 May 2017 11:13:29 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 97119307468771328L, u'id_str': u'97119307468771328'}, u'timestamp_ms': u'1495854782736'}}
Sat 27 May 2017 11:13:33 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Read timed out.
Sat 27 May 2017 11:13:40 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 107653806594072576L, u'id_str': u'107653806594072576'}, u'timestamp_ms': u'1495854789969'}}
Sat 27 May 2017 11:13:41 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 106577968637292544L, u'id_str': u'106577968637292544'}, u'timestamp_ms': u'1495854793008'}}
Sat 27 May 2017 11:13:43 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'44954005', u'user_id': 44954005, u'id': 865231942719086592L, u'id_str': u'865231942719086592'}, u'timestamp_ms': u'1495854795548'}}
Sat 27 May 2017 11:13:43 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 106471791224041473L, u'id_str': u'106471791224041473'}, u'timestamp_ms': u'1495854796079'}}
Sat 27 May 2017 11:13:47 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 106469683594674177L, u'id_str': u'106469683594674177'}, u'timestamp_ms': u'1495854799476'}}
Sat 27 May 2017 11:13:51 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Read timed out.
Sat 27 May 2017 11:13:56 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 106466517943730176L, u'id_str': u'106466517943730176'}, u'timestamp_ms': u'1495854807377'}}
Sat 27 May 2017 11:13:58 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 106024307716665344L, u'id_str': u'106024307716665344'}, u'timestamp_ms': u'1495854810465'}}
